feature,|mean_diff|
src_port,7227.081111111111
dst_port,82.45666666666668
protocol_type_TCP,0.21000000000000002
tcp_flags_SYN,0.19444444444444442
src_ip_192.168.1.2,0.1711111111111111
dst_ip_192.168.1.5,0.13666666666666671
dst_ip_192.168.1.6,0.1077777777777778
src_ip_192.168.1.3,0.06888888888888889
tcp_flags_FIN,0.06555555555555556
inter_arrival_time,0.02867554480332213
packet_count_5s,0.025079365079365146
frequency_band_energy,0.020138247430107725
protocol_type_UDP,0.016666666666666663
tcp_flags_SYN-ACK,0.016666666666666663
packet_size,0.00821045096635653
spectral_entropy,0.00655849751077886
mean_packet_size,0.0
